,INALT,ROMS,ROMSchild
2009-05-08,51.94513,36.27181,51.53742
2009-05-09,51.94513,36.27181,51.53742
2009-05-10,51.94513,36.27181,51.53742
2009-05-11,51.94513,51.90499,51.53742
2009-05-12,51.94513,51.90499,51.53742
2009-05-13,41.481853,70.584274,51.53742
2009-05-14,41.481853,70.584274,51.53742
2009-05-15,41.481853,70.584274,51.53742
2009-05-16,41.481853,51.90499,51.53742
2009-05-17,51.94513,51.90499,51.53742
2009-05-18,51.94513,51.90499,51.53742
2009-05-19,51.94513,51.90499,70.08479
2009-05-20,51.94513,51.90499,51.53742
2009-05-21,51.94513,70.584274,51.53742
2009-05-22,51.94513,70.584274,51.53742
2009-05-23,51.94513,70.584274,51.53742
2009-05-24,51.94513,70.584274,51.53742
2009-05-25,41.481853,51.90499,51.53742
2009-05-26,51.94513,51.90499,51.53742
2009-05-27,41.481853,51.90499,51.53742
2009-05-28,51.94513,51.90499,36.0146
2009-05-29,51.94513,51.90499,36.0146
2009-05-30,51.94513,51.90499,51.53742
2009-05-31,51.94513,51.90499,36.0146
2009-06-01,51.94513,51.90499,51.53742
2009-06-02,51.94513,51.90499,36.0146
2009-06-03,51.94513,51.90499,36.0146
2009-06-04,51.94513,51.90499,51.53742
2009-06-05,51.94513,51.90499,51.53742
2009-06-06,63.87905,51.90499,51.53742
2009-06-07,63.87905,51.90499,51.53742
2009-06-08,63.87905,51.90499,51.53742
2009-06-09,63.87905,51.90499,51.53742
2009-06-10,63.87905,51.90499,51.53742
2009-06-11,63.87905,51.90499,51.53742
2009-06-12,63.87905,51.90499,51.53742
2009-06-13,63.87905,51.90499,51.53742
2009-06-14,51.94513,51.90499,51.53742
2009-06-15,63.87905,51.90499,51.53742
2009-06-16,51.94513,51.90499,51.53742
2009-06-17,63.87905,51.90499,51.53742
2009-06-18,63.87905,51.90499,51.53742
2009-06-19,63.87905,51.90499,51.53742
2009-06-20,63.87905,51.90499,51.53742
2009-06-21,63.87905,51.90499,51.53742
2009-06-22,63.87905,51.90499,51.53742
2009-06-23,63.87905,51.90499,51.53742
2009-06-24,63.87905,51.90499,51.53742
2009-06-25,63.87905,70.584274,51.53742
2009-06-26,63.87905,51.90499,51.53742
2009-06-27,63.87905,51.90499,51.53742
2009-06-28,63.87905,70.584274,51.53742
2009-06-29,63.87905,51.90499,51.53742
2009-06-30,63.87905,36.27181,51.53742
2009-07-01,63.87905,51.90499,51.53742
2009-07-02,63.87905,51.90499,70.08479
2009-07-03,63.87905,51.90499,70.08479
2009-07-04,63.87905,36.27181,70.08479
2009-07-05,77.62451,36.27181,70.08479
2009-07-06,77.62451,36.27181,70.08479
